,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,kilometers_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description
0,2001981,1981 Midas (1973 EA),0.12803103782735203,1,0,0.29643025704221615,229,1,0.4481947457017021,0.0036081355259733024,1973-03-06,2021-10-20,3
1,2002059,2059 Baboquivari (1963 UA),0.1644034917555771,0,0,0.20983459772313778,268,0,0.9500223101946195,0.00537700646090766,1963-10-16,2021-04-15,1
2,2002061,2061 Anza (1960 UA),0.18331716779825402,0,0,0.17532606580573132,180,0,0.7970126939115566,0.0044743573618075076,1960-10-22,2021-06-12,1
3,2002062,2062 Aten (1976 AA),0.21920465567410286,0,0,0.12467255981075893,149,2,0.5853765427273983,0.0007760551814266696,1955-12-17,2019-11-10,2
4,2002063,2063 Bacchus (1977 HB),0.22793404461687683,0,0,0.11474882464418952,143,1,0.513165150498275,0.001269005561215861,1977-04-24,2021-12-02,3
5,2002100,2100 Ra-Shalom (1978 RA),0.17701260911736172,0,0,0.18614754265109842,278,2,0.32395367028350514,0.0008579411001526597,1975-10-03,2021-12-02,2
6,2002101,2101 Adonis (1936 CA),0.2938894277400581,1,0,0.0613056460985676,45,1,0.3021148796504439,0.0042016153801596075,1936-02-21,2020-06-09,3
7,2002102,2102 Tantalus (1975 YA),0.16585838991270607,1,0,0.20695452776718443,222,1,0.6779405137316401,0.001619613844678597,1975-12-30,2021-09-22,3
8,2002135,2135 Aristaeus (1977 HA),0.26382153249272544,1,0,0.0815892072806886,24,1,0.5889803098764366,0.002773310351877157,1977-04-17,2020-05-30,3
9,2002201,2201 Oljato (1947 XC),0.1294859359844811,1,0,0.2923620500984036,234,1,0.4503803187357642,0.004865360920380702,1931-12-03,2021-09-16,3
10,2002202,2202 Pele (1972 RA),0.22162948593598442,0,0,0.12183295484664429,75,0,0.8510804322795827,0.004453974299112245,1972-09-07,2022-03-30,1
11,2002212,2212 Hephaistos (1978 SB),0.046071774975751656,0,0,0.6456275935908581,533,1,0.22836924596240327,0.005250114778961761,1978-09-27,2022-03-14,3
12,2002329,2329 Orthos (1976 WA),0.09602327837051405,0,0,0.401745844697366,360,1,0.6204761394758749,0.005276458480042973,1976-05-31,2022-03-07,3
13,2002340,2340 Hathor (1976 UA),0.3758486905916584,1,0,0.02811077989256524,61,2,0.32022849897827116,0.0009022059328663548,1976-10-25,2019-01-24,2
14,2002368,2368 Beltrovata (1977 RA),0.12706110572259932,0,0,0.2991737879606335,306,0,0.9474453312797648,0.0036786158292611984,1977-09-04,2022-04-06,1
15,2002608,2608 Seneca (1978 DA),0.2376333656644034,0,0,0.10464555791479402,21,0,0.8213732918373806,0.005226547084363326,1978-02-17,2021-01-05,1
16,2003102,3102 Krok (1981 QA),0.17458777885548005,0,0,0.19048522681122296,258,0,0.9056566346077669,0.0039029454854932347,1981-08-21,2022-03-09,1
17,2003103,3103 Eger (1982 BB),0.1294859359844811,0,0,0.2923620500984036,694,1,0.6802275696526686,0.0019763902811991132,1982-01-21,2022-04-15,3
18,2003122,3122 Florence (1981 ET3),0.07080504364694462,1,0,0.5104682056429722,636,0,0.7723238492520647,0.00295216676109584,1979-03-09,2021-07-01,1
