,Unnamed: 0,absolute_magnitude_h,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,orbit_class_description,volume (m^3)
0,17254,25.8,0,359799259018.71515,3,1,-0.29740934810584196,1.3641186651723083,3,6.203748237406171e+31
1,16569,23.8,0,880875620682518.1,2,0,0.23291488410105202,0.5114491228227044,1,9.103683264712117e+41
2,10589,22.5,0,1.4049792182006392e+17,10,0,0.09336857951420274,0.7008256575433194,1,3.693882475319268e+48
3,8198,18.0,0,5.923687391652495e+24,26,1,-0.3601053804069707,1.3608098210978266,3,2.768533397779405e+71
4,14317,23.8,0,880875620682518.1,5,1,-0.20651971474705294,0.8007871283089505,3,9.103683264712117e+41
5,10507,22.9,0,2.9505232116011044e+16,35,1,-0.14751498483074152,0.31493283765086555,3,3.4211370919462137e+46
6,1500,19.11,0,7.794315500932562e+22,68,1,-0.030675698094687853,0.6732665988360913,3,6.306774693048561e+65
7,23471,22.0,0,9.882879080730652e+17,17,1,0.004606159807921173,0.7664071703330422,3,1.2856531439981231e+51
8,12792,20.8,0,1.0670777808942378e+20,5,0,0.147827733656304,1.2964582873067405,1,1.6183095760079e+57
9,2,16.36,0,3.5600219678181946e+27,180,0,0.051555019729909224,1.3131128726616845,1,6.009404055663755e+79
10,11361,20.9,0,7.223594536642668e+19,15,1,-0.2249887426552818,1.497057062760573,3,5.020343753253138e+56
11,12312,25.2,0,3738665071985.5903,9,1,0.00993888102663391,0.7588459441601744,3,6.960221406859055e+34
12,6377,22.03,0,8.791250750688933e+17,17,1,-0.10927081831733779,1.3189045150575254,3,9.049516427688487e+50
13,5555,23.3,0,6196239154766940.0,13,1,-0.01075038260341855,1.6415753975434841,3,3.168530485246299e+44
14,22426,26.1,0,111617455181.73622,2,1,-0.013838023408905305,0.5703127258039802,3,1.852122563939857e+30
15,8197,21.4,0,1.0269274886629595e+19,12,0,0.040703925064148105,0.7345443231255612,1,1.4424232328085982e+54
16,7794,20.3,0,7.506018978342509e+20,17,0,0.01746359741332877,1.6480469273267417,1,5.632514862464009e+59
17,5110,23.9,0,596309698666014.0,9,0,0.13713453507607368,1.2530523407008534,1,2.824158014469828e+41
18,19077,26.5,0,23440196925.81937,5,1,0.0016593502479271775,1.1673999780678639,3,1.7153673764814987e+28
19,6616,22.2,0,4.5289554608090445e+17,20,1,-0.015031121710804287,0.30526039551537404,3,1.2372786636595617e+50
20,22931,20.9,0,7.223594536642668e+19,3,1,-0.2632671049760509,1.508456284997643,3,5.020343753253138e+56
21,6914,23.2,0,9153156468762318.0,9,1,-0.018474438186956217,0.8747652025744517,3,1.0213769013284657e+45
22,23912,23.6,0,1922206421175473.0,20,2,-0.4536588477190315,0.15061791057121546,2,9.4596146045891e+42
23,3061,21.6,0,4.706026265659816e+18,12,1,-0.07180271946339897,0.6060998127632253,3,1.3881500440825826e+53
24,20077,25.6,0,785137452148.2122,2,0,0.14613387115551907,1.0649840016467298,1,6.446299033065962e+32
25,6594,25.7,0,531499645266.5903,8,1,-0.28444914363648927,0.7310346847654114,3,1.9997803997476113e+32
26,12482,27.1,0,2255822676.9938235,5,0,0.05827024103427708,0.5855938460448413,1,1.5289323381080498e+25
27,3652,20.5,0,3.439728982921774e+20,20,1,-0.048690460916003445,1.1476239404433746,3,5.420583634794611e+58
28,1466,16.5,0,2.0617351498563244e+27,95,0,0.06928436895186618,1.5149305275024745,1,1.1672718106346506e+79
29,137,16.96,0,3.4260711703191994e+26,188,1,-0.14934845370442779,1.3655389890066734,3,5.3562706450716733e+76
30,23967,26.9,1,4922552871.667813,12,1,-0.0804700229579346,0.5835151723509292,3,1.588709636161211e+26
31,19896,19.8,0,5.279870119279616e+21,13,0,0.09364637913731771,1.5403213115138,1,1.9603927580220498e+62
32,5272,24.4,0,84773144179365.23,13,1,0.0026916706829239146,0.6663439341273336,3,8.114247418180274e+38
33,22223,21.9,0,1.4599103856891136e+18,11,1,-0.46052917552302786,1.3781824636017006,3,4.144307440868804e+51
34,20459,23.7,0,1301239704128001.0,4,1,-0.07441739595378867,1.2581237058841361,3,2.934575505380203e+42
35,665,17.21,0,1.2917830743935074e+26,144,0,0.17020965775508407,1.5891041979570686,1,2.871059161396525e+75
36,23364,23.9,0,596309698666014.0,8,1,-0.15757476039270266,0.20454544704040079,3,2.824158014469828e+41
37,6179,27.5,0,473733482.078878,10,1,-0.08692608927767219,0.9904836140773312,3,1.4160402996577835e+23
38,17273,21.3,0,1.5169892238258506e+19,18,1,-0.27969698976458757,1.2610054199364227,3,4.649656399589846e+54
39,13227,27.5,1,473733482.078878,7,1,-0.2194331454850971,1.125169501002761,3,1.4160402996577835e+23
40,5731,25.0,0,8158343620651.459,7,1,-0.09221523427486916,1.229549596985798,3,7.232348666804114e+35
41,4163,26.7,1,10741769284.932888,10,1,-0.11745583059722081,0.8495303098192567,3,1.6508242527223626e+27
42,3004,19.6,0,1.1521490648404467e+22,13,1,-0.2569461335806867,0.9526539031956444,3,2.0370392023245e+63
43,5945,20.74,0,1.3485333972347809e+20,29,1,-0.006187321200732031,0.717079178919978,3,3.2663182022436964e+57
44,15249,22.4,0,2.075451636081473e+17,5,0,0.028125452747136907,1.1420316367925492,1,1.19072432261292e+49
45,700,18.4,0,1.2440025389844845e+24,19,0,0.2429803029031921,1.3804738859851058,1,2.5641130697989495e+69
46,11108,18.9,0,1.7685106743701357e+23,14,1,-0.29050182274302827,1.7256103482941905,3,7.367097686333945e+66
47,8808,18.0,0,5.923687391652495e+24,14,0,0.30545391713529235,1.7417843130125459,1,2.768533397779405e+71
48,1517,19.52,0,1.5742106450839653e+22,80,2,-0.35640038109366273,0.235531619039937,2,5.195913432775095e+63
49,371,16.44,0,2.6055445600197967e+27,235,0,0.29083523389833743,0.8990557450306579,1,2.355965283968103e+79
50,11180,18.1,0,4.0100465623944336e+24,25,0,0.16105927060437353,1.5889359728867687,1,8.588585006429792e+70
51,23612,27.3,1,1033759516.8489105,5,1,-0.34056999901312557,1.0058091161839235,3,1.4714040437793712e+24
52,3349,20.1,0,1.637929070493495e+21,16,0,0.24689469517198523,1.1474473872828097,1,5.852732099245674e+60
53,6351,23.4,0,4194550782365527.5,16,1,0.0053958007496590545,1.1223491670144488,3,9.829461901006614e+43
54,5607,20.2,0,1.1087978477095607e+21,17,0,0.043472173197093206,1.235556300795722,1,1.815643148394866e+60
55,7335,21.5,0,6.951796706383102e+18,17,1,-0.3850991920785075,1.3885370037709364,3,4.474706577704336e+53
56,19072,26.9,0,4922552871.667813,5,1,-0.09325458455299154,0.43255783015990823,3,1.588709636161211e+26
57,13604,20.8,0,1.0670777808942378e+20,29,0,0.06557021517194851,0.8229541998563458,1,1.6183095760079e+57
58,1266,17.79,0,1.3440698392136676e+25,96,1,-0.12525529109787925,1.604048815777934,3,3.2339915403238663e+72
59,11407,21.2,0,2.240914112278596e+19,17,1,-0.17224597624657292,0.7514443485210311,3,1.4988183655157715e+55
60,17946,23.7,0,1301239704128001.0,26,0,0.024299443093776713,0.7511820207591596,1,2.934575505380203e+42
61,19665,27.0,1,3332327444.9368534,3,1,-0.13519385947655777,1.0798079765898698,3,4.928518447206069e+25
62,19155,27.0,0,3332327444.9368534,5,1,-0.01139751350278634,1.0066040689853004,3,4.928518447206069e+25
63,3633,21.9,0,1.4599103856891136e+18,24,0,0.027157183675636777,1.45754430471,1,4.144307440868804e+51
64,1792,18.3,0,1.8376550090371822e+24,31,1,-0.4365045898117508,1.5847008207287365,3,8.265427484976938e+69
65,15003,20.8,0,1.0670777808942378e+20,27,2,-0.4478871663502742,0.13530218763784532,2,1.6183095760079e+57
66,20333,20.43,0,4.5199551690845795e+20,30,0,0.2839250504716406,1.2893386423311382,1,1.2299168576279917e+59
67,21108,27.8,0,146962297.88084504,4,1,-0.05005669652515967,0.7829534837605482,3,4.2275737230849627e+21
68,12392,19.2,0,5.486299809554908e+22,16,1,-0.29503281091931155,0.7690596647218687,3,2.199439310733669e+65
69,16745,20.3,0,7.506018978342509e+20,10,2,-0.4112411791888246,-0.01625876583214192,2,5.632514862464009e+59
70,16867,28.2,0,30862782.532653596,2,1,0.0033105374482479536,1.173329956528294,3,3.915422084969729e+19
71,18859,22.06,0,7.820199850803446e+17,10,1,-0.15959153315746094,1.178559112795557,3,6.369816589379122e+50
72,15097,26.3,0,51150122547.06952,15,1,-0.19700187078471895,0.4431870806160506,3,1.782433786700004e+29
73,1849,19.42,0,2.3254422634555446e+22,35,0,0.12754987829426778,0.4840669714975868,1,1.67490452578892e+64
74,17370,24.4,0,84773144179365.23,5,0,0.07299233635006588,1.4550629570353362,1,8.114247418180274e+38
75,16426,19.7,0,7.799485510907299e+21,5,1,-0.3073012788163659,1.436608077979082,3,6.319332967066243e+62
76,17068,28.5,1,9574297.488137914,5,1,-0.17469179531466175,0.768210887701518,3,1.1689450907237207e+18
